Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,103,"Society for Ecological RestorationNA 2007NA USA: Louisiana: Bayou La Branche Wetlands Restoration (StNA Charles Parish)NA Available at: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=65; See: http://wwwNAlacoastNAgov/projects/overviewNAasp?statenumber=PO-17
http://wwwNAlacoastNAgov/watermarks/2002-09/5casestudy/indexNAhtm",webpage,2007,1993-1994,NA,primary,"In 1993-1994, about 2NA7 million cubic yards of sediment were taken from Lake Pontchartrain and put into Bayou La BrancheNA Three months after dredging, the sediment was seeded with Japanese millet (Echinochloa crusgalli) in order to stabilize the sediment and encourage establishment of wetland vegetationNA Approximately 305 acres of shallow water habitat has been createdNA Managers expect the project to favorably progress as the sediment settles further and becomes a better elevation for emergent vegetationNA Monitoring continues on this siteNA This project will be monitored periodically until 2012NA No additional work is planned; this project appears to be successfulNA",Construction,Echinochloa crusgalli,"Bayou La Branche, StNA Charles Parish, Louisiana",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"Coastal Wetlands Planning, Protection and Restoration Act (The Breaux Act)",0NA5,197NA082,3820000.00,1993.00,19383.00,29258.00,58516.00,58516.00,"This project succeeded in reducing the water level in the project area, thus providing acceptable conditions for emergent vegetationNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,104,Society for Ecological RestorationNA 2008NA USA: California: Restoring Bolsa Chica WetlandsNA Available at:http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=159; See: California Coastal CommissionNA 2005NA Staff recommendation on consistency determination – consistency determination noNA CD-090-05NA,webpage,2008,1995-2006,NA,secondary,"Restoration project included the building of two bridges, jetties, dredging, earthwork, and groundwater barrierNA  Restoration involved the creation of a new tidal inlet that cut through Bolsa Chica State Beach and across the Pacific Coast HighwayNA The project includes also monitoring activities to determine the condition of restored habitats; and the necessary operation, maintenance, and management of project features during and after constructionNA the habitat types to be restored included:  perennial brackish ponds, seasonal ponds/sand flats, pickleweed flats, cordgrass intertidal zone, unvegetated intertidal mudflat, and marine subtidal soft bottomNA","Construction, hydrological restoration","Salicornia spp, Spartina sppNA","Bolsa Chica wetlands, Orange County, California",USA,USA,developed,"Cost for planning, construction, monitoring and maintenanceNA",yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,11,242NA811,110000000.00,1995.00,453027.00,648267.00,58933.00,58933.00,Recovery evaluation and monitoring are ongoingNA The project went forward and it appears has a good chance of success in spite of significant sources of disturbance surrounding the areaNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,105,"Society for Ecological RestorationNA 2012NA USA: New York: Bar Beach Salt Marsh Restoration, Hempstead HarborNA Available at: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=325; See: National Audubon SocietyNA 1998NA Important Bird Areas in New YorkNA
National Oceanic and Atmospheric Administration (NOAA)NA 1991NA Preliminary Natural Resource Survey, Finding of FactNA Seattle: Hazardous Materials Response and Assessment Division, NOAANA
National Marine Fisheries Service (NMFS)NA 2000NA Guide to Essential Fish Habitat Designations in the Northeastern United StatesNA
The Louis Berger Group, IncNA and National Oceanic and Atmospheric AdministrationNA 2011NA Bar Beach Salt Marsh Restoration, Fifth Year Monitoring ReportNA",webpage,2012,2003-2008,NA,secondary,"Restoration activities included the removal of substantial volumes of fill consisting of sand, gravel, concrete and solid waste debris from the site, as well as the physical removal of approximately 0NA2 acres of common reed (Phragmites australis)NA Each of the fill removal areas was excavated to sub-grade, backfilled with clean soils, and planted with native wetland and coastal upland plant speciesNA A 5-year monitoring program was implemented to assess the extent of success of the restoration projectNA More than 6,000 low and high marsh plugs [smooth cordgrass (Spartina alterniflora), salt meadow grass (Spartina patens), and spike grass (Distichlis spicata)] were planted in the final graded area by local volunteers in 2003NA An additional 2,000 plugs were planted in the high marsh and spring tide zones in 2004NA","Construction, clearing of exotic vegetation, planting saltmarsh","Spartina alterniflora, Spartina patens, Distichlis spicata","Bar Beach Lagoon, North Hempstead, New York",USA,USA,developed,"Cost include: settlement - ~US$ 160,000; project design - US$ 35,000 +; Town of North Hempstead Match (goods and services) - US$ 32,584; Volunteer Match (labor) - US$ 2,400; NOAA/NMFS/RC Community-Based Program Grant Award to North Hempstead - US$ 24,912NA",yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,6,0NA324,254896.00,2003.00,787327.00,933260.00,155543.00,155543.00,"Monitoring results indicate that restoration performance has been successful in reestablishing a salt marsh community similar to the nearby reference marsh communityNA The planted salt marsh grasses are well established and floweringNA Three years after initial planting, the restoration site met the 85% native species vegetative cover, 90% survival, and the <10% re-establishment of invasive plant species requirementsNA",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,106,"Society for Ecological RestorationNA 2008NA USA: California: Restoring Tidal Wetlands at Sonoma Baylands, San Francisco BayNA Available at: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=157; See: Marcus, LNA 2000NA Restoring tidal wetlands at Sonoma Baylands, San Francisco Bay, CaliforniaNA Ecological EngineeringNA 15:373-383NA and Cooperative Conservation America (CCA)NA 2008NA Sonoma Baylands Wetland Demonstration Project – Turning a Quagmire into a MarshNA http://wwwNAcooperativeconservationamericaNAorg/viewprojectNAasp?pid=334 and Gandesbery, 2003NA Sonoma Baylands Public Access – Staff RecommendationNA Coastal Conservancy, File NoNA 88-024NA",webpage,2008,1986-1996,NA,secondary,The Sonoma Baylands project recreated tidal wetlands using 2NA0 million cubic metres of dredged materialNA The Baylands project used dredged material in far lower quantities than previous projects to assure that the fill served as a template for the development of a wetland with an extensive tidal slough systemNA The project design also included a series of peninsulas to break up wind-driven waves and increase sedimentation ratesNA Construction of the levee and peninsulas began in July 1994 and tidal flow was restored to the site in October 1996NA,"Construction, hydrological restoration","Spartina foliosa, Salicornia pacifica","Sonoma Baylands, San Francisco Bay, California",USA,USA,developed,"Overall the total cost for the Baylands including land acquisition and design was about US$ 6 million, roughly a 5% increase in the overall US$ 100 million estimate for the
dredging projectNA Cost also include the expenses for long-term monitoring after 10 yearsNA ",yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,10,130NA309,6000000.00,1986.00,46044.00,91607.00,9161.00,NA,Salt marsh vegetation quickly colonized the entire perimeter of the restoration area and is gradually expanding further toward the center of the site as additional sediment is naturally deposited over the dredged materialNA The site continues to provide a feeding and resting area for large numbers of shorebirds and waterfowl as development of the young marsh continues to progressNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,107,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–256",journal,2013,2006,NA,primary,"The restoration was conducted by harvesting marsh sods from an adjacent natural marsh and planting in the restoration siteNA One design was fully planted (100% coverage of planted marsh sods harvested in cubes with a side length of 25 cm; termed full density design)NA Design consisted of restoring 3 x 2NA25 m2 plots of marshNA The restoration site was amended to adequate elevation for Black needlerush tolerance (±0NA3 m around mean water level)NA To do this, a 30 m long sediment wedge was constructed on top of an impervious clay layer to raise the bottom at the restored site to the suitable elevationNA The wedge was then surrounded with crushed limestone rock for protectionNA We made an effort to ensure the harvested sods could successfully transition to the new conditions of the restoration siteNA To accomplish this, we left the sods submerged in in situ water for 1 day at mid distance between the collection and restoration sites, and for a second day nearby the restoration site before plantingNA ","Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,"Cost of 1500 USD for construction per 2NA25 m² paid to an environmental restoration company for the purchase, transportation, dumping and leveling of the sediment fill and crushed limestone around the sedimentNA A total of 35NA3 personnel hours were required for the transportation and planting of sods necessary to complete one full-density plot with an estimate of $15 personnel hour?1, with $13 being base wage and $2 being benefitsNA Approximately 2 full days of boat time (8 working hours per day) per full density plot of boat use was needed to transport and acclimatize the sodsNA Standard boat rental fees are $150 day?1 including captain and gasNA Here the full cost per vegetated area of the full-density plots are provided when personnel (harvesting and planting), boat (harvested planting unit transport), and pre-planting site construction are all hiredNA",yes,NA,NA,NA,yes,NA,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,2330.00,2006.00,4735772.00,5122539.00,2439305.00,2439304.00,Restoration overall successful: few differences between restored sites and reference natural marsh standsNA We recognize the use and application of our restoration designs and recommendations obtained from the cost-effectiveness analysis may be limited because our approach of marsh sod transportation is labor intensive and sometimes unfeasibleNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,108,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–257",journal,2013,2006,NA,primary,"The restoration was conducted by harvesting marsh sods from an adjacent natural marsh and planting in the restoration siteNA The other design was planted at half the density of the fully planted design (50% coverage of planted marsh sods harvested in cubes with a side length of 25 cm; termed half density design)NA Design consisted of restoring 3 x 2NA25 m2 plots of marshNA The restoration site was amended to adequate elevation for Black needlerush tolerance (±0NA3 m around mean water level)NA To do this, a 30 m long sediment wedge was constructed on top of an impervious clay layer to raise the bottom at the restored site to the suitable elevationNA The wedge was then surrounded with crushed limestone rock for protectionNA We made an effort to ensure the harvested sods could successfully transition to the new conditions of the restoration siteNA To accomplish this, we left the sods submerged in in situ water for 1 day at mid distance between the collection and restoration sites, and for a second day nearby the restoration site before plantingNA ","Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,"Cost of 1500 USD for construction per 2NA25 m² paid to an environmental restoration company for the purchase, transportation, dumping and leveling of the sediment fill and crushed limestone around the sedimentNA A total of 17NA7 personnel hours were required for the transportation and planting of sods necessary to complete one half-density plot with an estimate of $15 personnel hour?1, with $13 being base wage and $2 being benefitsNA Approximately 1 full day of boat time (8 working hours per day) per full density plot of boat use was needed to transport and acclimatize the sodsNA Standard boat rental fees are $150 day?1 including captain and gasNA Here the full cost per vegetated area of the half-density plots are provided when personnel (harvesting and planting), boat (harvested planting unit transport), and pre-planting site construction are all hiredNA",yes,NA,NA,NA,yes,NA,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,1915.00,2006.00,4145022.00,4483543.00,2135020.00,2135021.00,Restoration overall successful: few differences between restored sites and reference natural marsh standsNA Total vegetated coverage area for half density plots was similar to full density plots at 2NA1 years after plantingNA Half density plots were approximately twice as cost-effective in scenarios with donated pre-planting site constructionNA We recognize the use and application of our restoration designs and recommendations obtained from the cost-effectiveness analysis may be limited because our approach of marsh sod transportation is labor intensive and sometimes unfeasibleNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,109,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–258",journal,2013,2006,NA,primary,Restoration of full-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,"Here the full cost per vegetated area of the full-density plots are provided when cost for personnel (harvesting and planting) are donated (eNAgNA volunteers), and cost for boat (harvested planting unit transport) and pre-planting site construction are hiredNA",yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,1800.00,2006.00,3658537.00,3957327.00,1884441.00,1884442.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,110,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–259",journal,2013,2006,NA,primary,Restoration of half-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,"Here the full cost per vegetated area of the half-density plots are provided when cost for personnel (harvesting and planting) are donated (eNAgNA volunteers), and cost for boat (harvested planting unit transport) and pre-planting site construction are hiredNA",yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,1650.00,2006.00,3571429.00,3863105.00,1839574.00,1839574.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,111,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–260",journal,2013,2006,NA,primary,Restoration of full-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the full-density plots are provided when cost for personnel (harvesting and planting) and pre-planting site construction are hired  and cost for boat (harvested planting unit transport) are donatedNA,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,2030.00,2006.00,4126016.00,4462985.00,2125231.00,2125231.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,112,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–261",journal,2013,2006,NA,primary,Restoration of half-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the half-density plots are provided when cost for personnel (harvesting and planting) and pre-planting site construction are hired  and cost for boat (harvested planting unit transport) are donatedNA,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,1765.00,2006.00,3820346.00,4132351.00,1967786.00,1967786.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,113,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–262",journal,2013,2006,NA,primary,Restoration of full-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the full-density plots are provided when cost for personnel (harvesting and planting) and boat (harvested planting unit transport) are donated and pre-planting site construction cost are hiredNA  ,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,1500.00,2006.00,3048780.00,3297772.00,1570368.00,1570368.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,114,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–263",journal,2013,2006,NA,primary,Restoration of half-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the half-density plots are provided when cost for personnel (harvesting and planting) and boat (harvested planting unit transport) are donated and pre-planting site construction cost are hiredNA  ,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,1500.00,2006.00,3246753.00,3511913.00,1672340.00,1672340.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,115,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–264",journal,2013,2006,NA,primary,Restoration of full-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the full-density plots are provided when cost for personnel (harvesting and planting) and boat (harvested planting unit transport) are hired and pre-planting site construction cost are donatedNA  ,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,830.00,2006.00,1686992.00,1824767.00,868937.00,868937.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,116,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–265",journal,2013,2006,NA,primary,Restoration of half-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the half-density plots are provided when cost for personnel (harvesting and planting) and boat (harvested planting unit transport) are hired and pre-planting site construction cost are donatedNA  ,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,415.00,2006.00,898268.00,971629.00,462680.00,462680.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,117,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–266",journal,2013,2006,NA,primary,Restoration of full-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,"Here the full cost per vegetated area of the full-density plots are provided when cost for personnel (harvesting and planting)  and pre-planting site construction cost are donated, and cost for boat (harvested planting unit transport) are hiredNA  ",yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,300.00,2006.00,609756.00,659554.00,314074.00,314074.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,118,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–267",journal,2013,2006,NA,primary,Restoration of half-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,"Here the full cost per vegetated area of the half-density plots are provided when cost for personnel (harvesting and planting)  and pre-planting site construction cost are donated, and cost for boat (harvested planting unit transport) are hiredNA  ",yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,150.00,2006.00,324675.00,351191.00,167234.00,167234.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,119,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–268",journal,2013,2006,NA,primary,Restoration of full-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the full-density plots are provided when cost for personnel (harvesting and planting) are hired and pre-planting site construction cost and cost for boat (harvested planting unit transport) are donatedNA  ,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,530.00,2006.00,1077236.00,1165213.00,554863.00,554863.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,120,"Sparks E, Cebrian J, Biber P, Sheehan K, Tobias C (2013) Cost-effectiveness of two small-scale salt marsh restoration designsNA Ecol Eng 53:250–269",journal,2013,2006,NA,primary,Restoration of half-density saltmarsh plotsNA,"Planting saltmarsh (seeds, seedlings or sods)",Juncus roemerianus,"Grand Bay National Estuarine Research Reserve, Mississippi",USA,USA,developed,Here the full cost per vegetated area of the half-density plots are provided when cost for personnel (harvesting and planting) are hired and pre-planting site construction cost and cost for boat (harvested planting unit transport) are donatedNA  ,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,"The UNASNA Department of Commerce’s National Oceanic and Atmospheric Administration under NOAA Award NA10OAR4170078, the Mississippi-Alabama Sea Grant Consortium (Project number R/CEH-24), the Grand Bay NERR and the Dauphin Island Sea Lab financially supported this workNA The Grand Bay NERR and Dauphin Island Sea Lab also provided vehicle and boat transportation as well as additional field and lab supportNA The Gulf Coast Research Laboratory also provided field supportNA",2NA1,0.00,265.00,2006.00,573593.00,620438.00,295447.00,295447.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,121,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–382,journal,1999,NA,1997,secondary,"Planting saltmarshesNA Original source: NOAA (1997c) Primary RestorationNA Guidance Document for Natural Resource Damage Assessment under the Oil Pollution Act of 1990NA National Oceanic and Atmospheric Administration, Damage Assessment and Restoration ProgramNA Silver Springs, MDNA","Planting saltmarsh (seeds, seedlings or sods)",NA,NA,USA,USA,developed,Costs for planting saltmarshes; quality seeding effortsNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.00,9000.00,12226.00,12226.00,12226.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,122,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–383,journal,1999,NA,1997,secondary,"Planting saltmarshesNA Original source: NOAA (1997c) Primary RestorationNA Guidance Document for Natural Resource Damage Assessment under the Oil Pollution Act of 1990NA National Oceanic and Atmospheric Administration, Damage Assessment and Restoration ProgramNA Silver Springs, MDNA","Planting saltmarsh (seeds, seedlings or sods)",NA,NA,USA,USA,developed,Costs for planting saltmarshes; using commercially grown stockNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.00,46000.00,62489.00,62489.00,62489.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,123,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–384,journal,1999,NA,1997,secondary,Additional costs to planting required for rehabilitation of saltmarshes such as topographical and hydrographical alterationsNA,Hydrological restoration,NA,NA,USA,USA,developed,"In addition to planting costs, other costs (eNAgNA topographical and hydrological alterations) can range from around US$ 600 to 80,000 per ha, depending on existing site conditions (NOAA, 1997c)NA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.00,600.00,815.00,815.00,815.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
